,Date,Open,High,Low,Close,Signal,SMA,EMA,Total,BuyHold,Win/Lose
24,8/20/2010,5540.799805,5546.600098,5513.350098,5530.649902,0,5443.3550049,5458.80689375,10000000.0,12453576.9346,0.0
25,8/23/2010,5531.149902,5549.799805,5519.399902,5543.5,0,5449.6,5469.39353203,10000000.0,12691625.0,0.0
26,8/24/2010,5541.100098,5547.25,5488.450195,5505.100098,0,5453.325,5473.85685278,10000000.0,11980266.8154,0.0
27,8/25/2010,5505.299805,5506.149902,5452.549805,5462.350098,0,5456.56501465,5472.41850843,10000000.0,11188323.0654,0.0
28,8/26/2010,5462.100098,5486.549805,5454.700195,5477.899902,0,5460.01501465,5473.10368263,10000000.0,11476383.1846,0.0
29,8/27/2010,5489.600098,5495.200195,5391.950195,5408.700195,0,5462.0700195,5465.05324667,10000000.0,10194458.6124,0.0
30,8/30/2010,5408.899902,5469.0,5390.350098,5415.450195,0,5461.26003415,5458.85286521,10000000.0,10319502.3624,0.0
31,8/31/2010,5413.549805,5413.899902,5348.899902,5402.399902,1,5459.402539,5451.79624481,9990032.57218,10077745.6846,0.0
32,9/1/2010,5403.049805,5478.600098,5403.049805,5471.850098,0,5459.602539,5454.30297646,10630710.6303,11364310.5654,0.0
33,9/2/2010,5471.899902,5513.950195,5471.850098,5486.149902,0,5461.5550292,5458.28384215,10762626.3222,11629214.4346,0.0
34,9/3/2010,5486.299805,5510.399902,5473.649902,5479.399902,0,5463.5625243,5460.92334963,10700357.5722,11504170.6846,0.0
35,9/6/2010,5479.549805,5589.399902,5479.549805,5576.950195,-1,5468.10253895,5475.4267053,11589969.552,13311289.8624,1610226.45293
36,9/7/2010,5575.899902,5625.5,5571.649902,5604.0,0,5475.2675292,5491.49836714,11589969.552,13812387.5,0.0
37,9/8/2010,5604.25,5625.299805,5567.75,5607.850098,0,5484.6300292,5506.0423335,11589969.552,13883710.5654,0.0
38,9/9/2010,5608.299805,5647.450195,5608.100098,5640.049805,0,5495.8100097,5522.79326744,11589969.552,14480210.1376,0.0
39,9/13/2010,5639.200195,5770.600098,5639.200195,5760.0,0,5511.2050048,5552.44410901,11589969.552,16702287.5,0.0
40,9/14/2010,5760.299805,5838.450195,5760.299805,5795.549805,0,5530.0675048,5582.83232101,11589969.552,17360847.6376,0.0
41,9/15/2010,5795.25,5869.450195,5792.200195,5860.950195,0,5552.40751945,5617.59705526,11589969.552,18572389.8624,0.0
42,9/16/2010,5861.100098,5901.649902,5815.799805,5828.700195,0,5569.8850341,5643.98494772,11589969.552,17974958.6124,0.0
43,9/17/2010,5828.700195,5898.399902,5828.700195,5884.950195,0,5587.1225341,5674.10560363,11589969.552,19016989.8624,0.0
44,9/20/2010,5885.049805,5989.5,5885.049805,5980.450195,0,5609.61254875,5712.39867755,11589969.552,20786127.3624,0.0
45,9/21/2010,5980.5,6032.799805,5961.850098,6009.049805,0,5632.890039,5749.48006848,11589969.552,21315935.1376,0.0
46,9/22/2010,6008.399902,6037.399902,5946.450195,5991.0,0,5657.1850341,5779.67005992,11589969.552,20981562.5,0.0
47,9/23/2010,5991.049805,6006.799805,5932.399902,5959.549805,0,5682.04501945,5802.15502806,11589969.552,20398947.6376,0.0
48,9/24/2010,5959.450195,6029.100098,5951.200195,6018.299805,0,5709.0650146,5829.17312518,11589969.552,21487291.3876,0.0
49,9/27/2010,6018.299805,6073.5,6018.299805,6035.649902,0,5740.41249995,5854.98272228,11589969.552,21808701.9346,0.0
50,9/28/2010,6036.049805,6049.799805,5991.299805,6029.5,0,5771.1149902,5876.79738199,11589969.552,21694775.0,0.0
51,9/29/2010,6029.149902,6071.549805,5979.649902,5991.299805,0,5800.55998535,5891.11018487,11589969.552,20987116.3876,0.0
52,9/30/2010,5991.350098,6048.450195,5963.600098,6029.950195,0,5828.4649902,5908.46518614,11589969.552,21703114.8624,0.0
53,10/1/2010,6030.299805,6153.100098,6030.299805,6143.399902,0,5861.3274902,5937.83202562,11589969.552,23804770.6846,0.0
54,10/4/2010,6144.700195,6222.100098,6144.700195,6159.450195,0,5895.33000485,5965.53429679,11589969.552,24102102.3624,0.0
55,10/5/2010,6159.450195,6188.350098,6118.049805,6145.799805,0,5923.77248535,5988.06748532,11589969.552,23849228.8876,0.0
56,10/6/2010,6150.950195,6223.399902,6148.600098,6186.450195,0,5952.8949951,6012.86532403,11589969.552,24602277.3624,0.0
57,10/7/2010,6186.850098,6199.450195,6107.5,6120.299805,0,5978.51748045,6026.29463415,11589969.552,23376841.3876,0.0
58,10/8/2010,6121.399902,6148.600098,6067.0,6103.450195,0,6001.68749995,6035.93907926,11589969.552,23064702.3624,0.0
59,10/11/2010,6105.950195,6187.75,6105.950195,6135.850098,0,6020.48000485,6048.4279566,11589969.552,23664910.5654,0.0
60,10/12/2010,6135.950195,6144.950195,6057.950195,6090.899902,0,6035.2475097,6053.73694977,11589969.552,22832208.1846,0.0
61,10/13/2010,6091.450195,6240.25,6089.75,6233.899902,0,6053.89499505,6076.2573188,11589969.552,25481283.1846,0.0
62,10/14/2010,6234.299805,6284.100098,6157.899902,6177.350098,0,6071.3274902,6088.8939162,11589969.552,24433698.0654,0.0
63,10/15/2010,6175.899902,6200.600098,6050.350098,6062.649902,0,6080.21247555,6085.61341443,11589969.552,22308876.9346,0.0
